x,y
о стах щенках,ста
в тысячу девяностом году,тысяча
лопнутые пружины,лопнувшие
торт  менее  слаще,менеесладкий
прочитая рассказ,прочитав
пирог с повидлой,повидлом
в шкафе,шкафу
требуются шофера,шофёры
нет ясель рядом,яслей
более шестиста лет,шестисот
подскользнуться на льду,поскользнуться
пить из блюдцев,блюдец
потеряла туфель,туфлю
с восьмистами блюдами,восьмьюстами
дерево засохнуло,засохло
совсем озябнул,озяб
несколько блюдцев,блюдец
жгёт костер,жжёт
песни цыганей,цыган
ихние дети,их
обгрызанный хлеб,обгрызенный
вкусные кренделя,крендели
махает платком,машет
опытные инженера,инженеры
опытные тренера,тренеры
езжай прямо,поезжай
голос более звучнее,звучный
шестистами спортсменами,шестьюстами
в двухста экземплярах,двухстах
запретящий игры,запрещающий
поднялся более выше,высоко
старше него,его
ляжьте,лягте
рота солдатов,солдат
семистами тоннами,семьюстами
красивше,красивее
прибавить к трёхстам,тремстам
к четырёхстам грузовикам,четырёмстам
ящик апельсин,апельсинов
ляжь на спину,ляг
ездиют на автобусе,ездят
взмокнул от стараний,взмок
сладких вишней,вишен
прийти более позднее,болеепоздно
пять блюдцев,блюдец
попробоваем изучить,попробуем
уважаемые директора,поезжай
пришел более позднее,болеепоздно
разожгёт костёр,разожжёт
картина более красивее,красивая
пой более звучнее,звучно
нет сапогов,сапог
пара чулков,чулок
млекопитающиеся  животные,млекопитающие
более пятиста метров,пятисот
в шестиста шагах,шестистах
смотрев вперёд,смотря
разъехайтесь,разъезжайтесь
строжайше запрещено,заезжай
недры земли,недра
обгрызанное яблоко,обгрызенное
достигнули,достигли
не пророняя (слов),проронив
выглядит более эстетично,двести
пятьсотый заказ,пятисотый
более восемьсот миллионов,восьмисот
восьмидесятью копейками,восьмьюдесятью
испекёт пирожок,испечёт
хорошо проповедовает,проповедует
копчёные окороки,окорока
выглядишь более красивее,красиво
пара сапогов,сапог
высохнул на солнце,высох
обгрызанная зайцами кора дерева,обгрызенная
двухсот второй кабинет,двести
полторастами произведениями,полутораста
съездиет на дачу,съездит
более выше прыгнуть,болеевысоко
трёхстам жителям,трёмстам
быстро выздоровит,выздоровеет
более точнее (ответить),точно
в двух тысяч пятом году,дветысячи
в полуторах метрах,полутора
ехай прямо,поезжай
северный и южный полюсы,полисы
занавесить тюлью,тюлем
сбросить с плечей,сплеч
по обоим сторонам,обеим
пара джинс,джинсов
пара варежков,варежек
новых полотенец,поезжай
пятистами метрами,пятьюстами
пачка макаронов,макарон
думать более шире,болеешироко
не пророняя ни слова,проронив
без погонов,погон
аромат шампуни,шампуня
езжай домой,поезжай
ответить более точнее,точно
вдоль побережьев,побережий
мебель для кухней,кухонь
зажгёшь свечу,зажжёшь
в полуторастах милях,полутораста
стоять около рояли,рояля
наибольше,наиболее
здоровше других,здоровее
много яблоков,яблок
с двух тысячи первого года,две
домишки деревней,деревень
прийду,приду
хорошо стригёт,стрижёт
двухстами предметами,двумястами
взглянь,взгляни
подпишите договора,договоры
справились наиболее успешнее,наиболееуспешно
пара туфлей,туфель
посадили двадцать яблоней,яблонь
в двух тысячи шестой раз,две
не пророняя слов,проронив
взвод солдатов,солдат
мелить зерно на мельнице,молоть
посмотрел более строже,строго
попробоваем,попробуем
лежит на шкафе,шкафу
более честнее поступил,честно
поклади на стол,положи
пять апельсин,апельсинов
с трёхстами килограммами,тремястами
эта работа более лучше,болеехорошая
ихней работой,их
старых  басней,басен
едь вперёд,поезжай
трёхстами вопросами,тремястами
более худший,плохой
жгёшь солому,жжёшь
о семиста километрах,семистах
около триста фотографий,трёхсот
модных сапогов,сапог
около пятиста километров,пятисот
в трёхстах государствах,чистая
большие термоса,термосы
в восьмьюстах копиях,восьмистах
подчерк,почерк
свыше ста семидесяти километрах,километров
из полтора метров материи,полутора
со ста первого экземпляра,сто
с днём рождением,рождения
ехай вперёд,поезжай
более две тысяч человек,двух
килограмм сосисек,сосисок
ночные вызова,вызовы
поделить напополам,пополам
голос более выше,болеевысокий
с  восьмым мартом,марта
ответственные сторожи,сторожа
все возраста,возрасты
ведро вишней,вишен
с пятидесятью рублями,пятьюдесятью
испекёт булочки,испечёт
более надёжный,клади
двухстами рублями,двумястами
конфликт более глубочайший,глубокий
длиньше,длиннее
шестистами учениками,шестьюстами
несколько пар туфлей,туфель
семястами монетами,семьюстами
в двух тысячи четвёртом году,две
мощные  компьютера,компьютеры
у новых туфлей,туфель
более красивейший пейзаж,красивейший
с шестистами рублями,шестьюстами
опытные токаря,токари
косвенных падежов,падежей
ихние дела,их
звончее,звонче
пустые термоса,термосы
закрепил более надёжнее,надёжно
поступил более честнее,честнее
обоих спортсменок,обеих
в обеих руках,их
путь длиньше,длиннее
четырёхстами людьми,четырьмястами
шинель без погонов,погон
зажгём огоньки,зажжём
с двухстами заказчиками,двумястами
брат более умнее,болееумный
