number,kase,gender,numeralized,kase_name,gender_name
0,0,0,ноль,nomn,masc
0,0,1,ноль,nomn,femn
0,1,0,нуля,gent,masc
0,1,1,нуля,gent,femn
0,2,0,нулю,datv,masc
0,2,1,нулю,datv,femn
0,3,0,ноль,accs,masc
0,3,1,ноль,accs,femn
0,4,0,нулём,ablt,masc
0,4,1,нулём,ablt,femn
0,5,0,нуле,loct,masc
0,5,1,нуле,loct,femn
1,0,0,один,nomn,masc
1,0,1,одна,nomn,femn
1,1,0,одного,gent,masc
1,1,1,одной,gent,femn
1,2,0,одному,datv,masc
1,2,1,одной,datv,femn
1,3,0,один,accs,masc
1,3,1,одну,accs,femn
1,4,0,одним,ablt,masc
1,4,1,одной,ablt,femn
1,5,0,одном,loct,masc
1,5,1,одной,loct,femn
2,0,0,два,nomn,masc
2,0,1,две,nomn,femn
2,1,0,двух,gent,masc
2,1,1,двух,gent,femn
2,2,0,двум,datv,masc
2,2,1,двум,datv,femn
2,3,0,два,accs,masc
2,3,1,две,accs,femn
2,4,0,двумя,ablt,masc
2,4,1,двумя,ablt,femn
2,5,0,двух,loct,masc
2,5,1,двух,loct,femn
3,0,0,три,nomn,masc
3,0,1,три,nomn,femn
3,1,0,трёх,gent,masc
3,1,1,трёх,gent,femn
3,2,0,трём,datv,masc
3,2,1,трём,datv,femn
3,3,0,три,accs,masc
3,3,1,три,accs,femn
3,4,0,тремя,ablt,masc
3,4,1,тремя,ablt,femn
3,5,0,трёх,loct,masc
3,5,1,трёх,loct,femn
4,0,0,четыре,nomn,masc
4,0,1,четыре,nomn,femn
4,1,0,четырёх,gent,masc
4,1,1,четырёх,gent,femn
4,2,0,четырём,datv,masc
4,2,1,четырём,datv,femn
4,3,0,четыре,accs,masc
4,3,1,четыре,accs,femn
4,4,0,четырьмя,ablt,masc
4,4,1,четырьмя,ablt,femn
4,5,0,четырёх,loct,masc
4,5,1,четырёх,loct,femn
5,0,0,пять,nomn,masc
5,0,1,пять,nomn,femn
5,1,0,пяти,gent,masc
5,1,1,пяти,gent,femn
5,2,0,пяти,datv,masc
5,2,1,пяти,datv,femn
5,3,0,пять,accs,masc
5,3,1,пять,accs,femn
5,4,0,пятью,ablt,masc
5,4,1,пятью,ablt,femn
5,5,0,пяти,loct,masc
5,5,1,пяти,loct,femn
6,0,0,шесть,nomn,masc
6,0,1,шесть,nomn,femn
6,1,0,шести,gent,masc
6,1,1,шести,gent,femn
6,2,0,шести,datv,masc
6,2,1,шести,datv,femn
6,3,0,шесть,accs,masc
6,3,1,шесть,accs,femn
6,4,0,шестью,ablt,masc
6,4,1,шестью,ablt,femn
6,5,0,шести,loct,masc
6,5,1,шести,loct,femn
7,0,0,семь,nomn,masc
7,0,1,семь,nomn,femn
7,1,0,семи,gent,masc
7,1,1,семи,gent,femn
7,2,0,семи,datv,masc
7,2,1,семи,datv,femn
7,3,0,семь,accs,masc
7,3,1,семь,accs,femn
7,4,0,семью,ablt,masc
7,4,1,семью,ablt,femn
7,5,0,семи,loct,masc
7,5,1,семи,loct,femn
8,0,0,восемь,nomn,masc
8,0,1,восемь,nomn,femn
8,1,0,восьми,gent,masc
8,1,1,восьми,gent,femn
8,2,0,восьми,datv,masc
8,2,1,восьми,datv,femn
8,3,0,восемь,accs,masc
8,3,1,восемь,accs,femn
8,4,0,восемью,ablt,masc
8,4,1,восемью,ablt,femn
8,5,0,восьми,loct,masc
8,5,1,восьми,loct,femn
9,0,0,девять,nomn,masc
9,0,1,девять,nomn,femn
9,1,0,девяти,gent,masc
9,1,1,девяти,gent,femn
9,2,0,девяти,datv,masc
9,2,1,девяти,datv,femn
9,3,0,девять,accs,masc
9,3,1,девять,accs,femn
9,4,0,девятью,ablt,masc
9,4,1,девятью,ablt,femn
