,word
0,разъезжайтесь
1,зажжёшь
2,полутора
3,побережий
4,солдат
5,млекопитающие
6,ляг
7,дветысячи
8,болееумный
9,сторожа
10,чулок
11,строго
12,звучно
13,сто
14,компьютеры
15,тремстам
16,наиболее
17,шампуня
18,засохло
19,точно
20,шкафу
21,марта
22,пятьюстами
23,цыган
24,плохой
25,обеим
26,возрасты
27,озяб
28,проронив
29,красивая
30,вызовы
31,кухонь
32,пятисотый
33,туфель
34,сплеч
35,восьмьюдесятью
36,четырьмястами
37,шестьюстами
38,взгляни
39,тысяча
40,длиннее
41,семьюстами
42,восьмистах
43,поезжай
44,сосисок
45,съездит
46,восьмьюстами
47,шестистах
48,двух
49,пополам
50,полутораста
51,инженеры
52,лопнувшие
53,тюлем
54,недра
55,погон
56,молоть
57,высоко
58,падежей
59,болеешироко
60,яблонь
61,шестисот
62,двухстах
63,с плеч
64,туфлю
65,зажжём
66,басен
67,честно
68,трёхсот
69,рождения
70,токари
71,семистах
72,двести
73,разожжёт
74,болеехорошая
75,четырёмстам
76,макарон
77,наиболееуспешно
78,смотря
79,рояля
80,тремястами
81,тренеры
82,положи
83,поскользнуться
84,жжёт
85,трёмстам
86,обгрызенная
87,варежек
88,джинсов
89,вишен
90,полисы
91,клади
92,болеепоздно
93,запрещающий
94,взмок
95,окорока
96,обгрызенный
97,шофёры
98,испечёт
99,жжёшь
100,глубокий
101,стрижёт
102,достигли
103,двумястами
104,прочитав
105,обгрызенное
106,заезжай
107,договоры
108,приду
109,здоровее
110,красиво
111,звонче
112,деревень
113,попробуем
114,высох
115,термосы
116,пятисот
117,блюдец
118,чистая
119,повидлом
120,надёжно
121,сапог
122,звучный
123,выздоровеет
124,красивейший
125,ездят
126,километров
127,менеесладкий
128,болеевысокий
129,обеих
130,лягте
131,честнее
132,их
133,пятьюдесятью
134,яблок
135,две
136,красивее
137,проповедует
138,апельсинов
139,восьмисот
140,почерк
141,болеевысоко
142,яслей
