,word
0,яблок
1,поезжай
2,семьюстами
3,две
4,поезжай
5,двухстах
6,деревень
7,приду
8,озяб
9,стрижёт
10,звучный
11,зажжёшь
12,двумястами
13,взгляни
14,договоры
15,наиболееуспешно
16,туфель
17,лягте
18,яблонь
19,обгрызенный
20,две
21,проронив
22,солдат
23,полутора
24,дветысячи
25,поскользнуться
26,молоть
27,строго
28,высох
29,попробуем
30,шкафу
31,честно
32,пятисотый
33,выздоровеет
34,положи
35,пятисотый
36,млекопитающие
37,апельсинов
38,проповедует
39,тремястами
40,болеехорошая
41,проронив
42,погон
43,варежек
44,их
45,басен
46,красивая
47,поезжай
48,тремястами
49,плохой
50,лягте
51,туфель
52,болеевысоко
53,яблок
54,жжёшь
55,семистах
56,туфлю
57,макарон
58,заезжай
59,сапог
60,шестистах
61,трёхсот
62,сапог
63,испечёт
64,яслей
65,тюлем
66,проронив
67,пятисот
68,чистая
69,их
70,болеешироко
71,ляг
72,термосы
73,восьмисот
74,чулок
75,восьмистах
76,обгрызенное
77,красивее
78,почерк
79,километров
80,лягте
81,достигли
82,положи
83,полутора
84,сто
85,повидлом
86,рождения
87,прочитав
88,блюдец
89,засохло
90,поезжай
91,двух
92,блюдец
93,цыган
94,восьмьюстами
95,обеим
96,сосисок
97,тюлем
98,вызовы
99,пополам
100,болеевысокий
101,марта
102,сторожа
103,четырёмстам
104,вишен
105,возрасты
106,вишен
107,пятьюдесятью
108,разъезжайтесь
109,взмок
110,солдат
111,испечёт
112,шестисот
113,клади
114,двумястами
115,блюдец
116,яблонь
117,разожжёт
118,болеепоздно
119,глубокий
120,длиннее
121,шестьюстами
122,точно
123,сапог
124,туфель
125,семьюстами
126,две
127,пятьюстами
128,компьютеры
129,побережий
130,туфель
131,трёмстам
132,лопнувшие
133,болеепоздно
134,запрещающий
135,высоко
136,восьмьюдесятью
137,шкафу
138,тысяча
139,варежек
140,красивейший
141,менеесладкий
142,сплеч
143,шестьюстами
144,полутораста
145,токари
146,тренеры
147,шофёры
148,падежей
149,стрижёт
150,полутораста
151,наиболее
152,полисы
153,окорока
154,их
155,пятисот
156,смотря
157,кухонь
158,поезжай
159,звонче
160,проронив
161,термосы
162,надёжно
163,недра
164,честнее
165,инженеры
166,рояля
167,обеих
168,джинсов
169,жжёт
170,их
171,длиннее
172,шестьюстами
173,четырьмястами
174,шампуня
175,погон
176,их
177,зажжём
178,красивее
179,двумястами
180,болееумный
