theme;theme_to_insert_vinitelniy;problem_formulation;problem_explanation;citation1_explained;citation2_explained;author_position;author_position_reformulated;own_position;argument_paragraph1;argument_paragraph2;conclusion;text;theme_keywords;problem_keywords
Русский язык;культурного наследия;проблема бережного отношения к русскому языку;Каково его значение для русского народа? Как сохранить богатое наследие нашего языка? Именно эти вопросы возникают при чтении текста.;с помощью родного языка мы познаем окружающий мир, приобщаемся к тому огромному опыту, который накопило человечество, постигаем особенности национального характера, изучаем ту духовную высоту, которую русский народ достиг только благодаря своему языку;в каждом слове русского языка живет история народа, его традиционный и современный уклад жизни;cлова – это памятник культуры и памятник культуре;русский язык – дивный дар, который надо любить и беречь;в русском языке слились воедино сущность и поющая душа нашего народа, он олицетворение самой России;"Книга К. Паустовского ""Золотая роза"" легко послужит доказательством необходимости бережного отношения к могучему русскому языку. Этюды ""Родник в мелколесье"", ""Язык и природа"" показывают, что язык поистине волшебен для того, кто хорошо знает свой народ, свою землю. Слово приобретает драматическую силу, если писатель хорошо понимает, о чем он пишет.";"Прекрасным подтверждением первостепенной роли бережливости по отношению к родному языку является ""Cловарь пермских говоров"" под редакцией А. Н. Борисовой и К. Н. Прокошевой, вобравший в себя своеобразие и богатство лексики Верхнего и Среднего Прикамья. Словарь включает описания лексики и фразеологии рассматриваемых мест и прямо указывает на необходимость сохранения языка в его богатейшем виде.";духовное богатство России будет жить до тех пор, пока жив могучий русский язык. Не любить и не беречь его – значит, не любить нашу Родину;;['язык', 'слово', 'русский', 'новый', 'речь', 'дело', 'литература', 'родной', 'языковой', 'общий', 'история', 'выражение', 'великий', 'литературный', 'век', 'лицо', 'мысль', 'личность', 'любовь', 'советский'];['й']
Наука, образование;образования;проблема роли учителя в жизни человека;Автор заставляет нас задуматься о влиянии педагога на становление личности ученика.;главная обязанность педагога - подводить детей к самостоятельному сложному внутреннему поиску;учитель несет огромную ответственность перед обществом. Ему необходимо не только привить ученику профессиональные навыки, но и духовные;настоящий учитель, готовый помочь своим ученикам в беде, играет огромную роль в жизни ребенка;развивать духовный мир, приучать человека к активной работе мысли и совести - вот самые главные аспекты в воспитании нового поколения;великолепные учителя, которые всеми силами стараются сделать жизнь своих учеников лучше и интереснее, навсегда останутся в сердцах даже самых нерадивых и непослушных воспитанников;"Вспоминается рассказ В. Распутина ""Уроки французского"". Голод, который испытывает обычный сельский мальчик, заставляет его начать играть на деньги. И хотя его учительница Лидия Михайловна, с точки зрения администрации школы, выбирает неправильный способ помочь ученику, она делает это. Она искренне желает помочь мальчику, который нашел в учителе не только наставника, но и друга.";"А преподаватель кружка Владимир Лаврентьевич, герой рассказа Евгения Гришковца ""Начальник"", пользуется авторитетом среди своих учеников, потому что он, настоящий педагог, воспитывает в детях чувство прекрасного, умение проявлять индивидуальность, способность жить и работать в коллективе.";роль учителя в жизни ученика трудно переоценить. Она действительно огромна. И человек, взявший на себя эту ответственность, должен полностью осознавать важность своей миссии;;['школа', 'учитель', 'класс', 'урок', 'слово', 'русский', 'книга', 'ребёнок', 'школьный', 'звонок', 'наука', 'ученый', 'исследование', 'открытие', 'исследователь'];['учитель', 'учебник', 'школа', 'ученик', 'школьный', 'парта', 'класс', 'урок', 'образование', 'ребенок', 'дети']
Любовь, дружба, счастье;любви, дружбы и счастья;проблема потребности человека в настоящей любви и истинной дружбе;Почему эти ценности так важны для каждого из нас? Как меняет человека истинная любовь и дружба? На эти вопросы автор рассказа ищет ответы.;настоящая любовь приходит к тому, кто способен жить ради другого;любовь и дружба должны быть выстраданы, нужно готовиться к ним, учиться быть великодушным, бескорыстным;в вопросах любви и дружбы всегда нужно идти до конца;настоящая любовь и дружба бескорыстны. Любящий человек должен поддерживать в другом проявления светлых, добрых чувств;нельзя отказываться от того, без чего наша душа не может жить, от любви и дружбы;"Главная героиня романа М. А. Булгакова ""Мастер и Маргарита"" потеряла самое дорогое - свою любовь, но не замкнулась в своем несчастье. Наблюдая горе другого человека, она активно сочувствует ему. И вот ""подобное притягивает подобное"": Маргарита вознаграждается за свою любовь, верность, милосердие. Ее возлюбленный был возвращен ей.";"Бабушка Люба, героиня рассказа Б. Якимова ""Тары да бары"", нуждалась в любви своих близких. Но мелкие ссоры и обиды разрушали хорошие отношения в семье. Однако бабушка никогда не упрекала ни дочь, ни внучку в бессердечии, она терпеливо ждала их прозрения. Ее смирение заставило родных задуматься о том, что происходит в их семье, понять, что нужно дарить родным свое тепло, любовь.";без настоящей любви и истинной дружбы люди не могут жить полноценно. Следует бороться и не сдаваться, и тогда все получится;;['любовь', 'лицо', 'друг', 'душа', 'хороший', 'чувство', 'счастие', 'счастливый', 'сердце', 'русский', 'сила', 'женщина', 'дружба', 'ревность'];['любовь', 'дружба', 'счастье', 'возлюбленный', 'родной', 'тепло', 'муж', 'жена']
Культура, искусство;культуры и искусства;проблема влияния искусства на человека;Автор заставляет нас задуматься о роли творчества в формировании личности.;художественное произведение может стать для человека чем-то большим, чем просто развлечением: требовательным учителем, домом, школой жизни или даже лучшим другом;правильное восприятие искусства является важной частью развития общества;искусство может не только изменить мнение о жизни, но и сформировать взгляды, расширить мировоззрение;творчество должно воспитывать людей, учить их добру и милосердию;настоящее искусство должно быть не бесцельным рисованием перед публикой, а тем, что пробуждает в людях прекрасные мысли и светлые чувства;"Прекрасный пример влияния книги на мировоззрение человека приводит А. Грин в рассказе ""Зеленая лампа"", повествующем о восхитительной судьбе бродяги Ива, ставшего знаменитым врачом и состоятельным человеком. И все это благодаря книгам, которые Ив читал, читал и читал.";В романе А. И. Куприна “Гранатовый браслет” влияние искусства проявилось в том, что теплое чувство Желткова к княгине Шеиной возникло именно при прослушивании бетховенской композиции “Аппосионата”. Вера Николаевна испытывала в душе благодарность за такие чувства к ней и было понимание, что настоящая любовь коснулась ее жизни, именно при прослушивании той же сонаты.;в жизни человека очень высока роль искусства. Поэтому любое творчество мы должны воспринимать глубже и серьезнее;;['книга', 'русский', 'великий', 'слово', 'новый', 'душа', 'сила', 'духовный', 'литература', 'живой', 'искусство', 'художественныый', 'картина', 'культура'];['искусство', 'культура', 'влияние', 'человек', 'взгляд', 'мнение']
Природа и животные;природы и животного мира;проблема бережного отношения человека к природе;Автор призывает нас задуматься над беспечным отношением современного человека к окружающему миру.;бездумное использование достижений научно-технического прогресса, жажда наживы, бездуховность - все это грозит гибелью общества;человек - часть природы, и в его обязанности входит забота о ее сохранении;человек должен контролировать все свои изобретения и бережно относиться к окружающей среде;люди должны несмотря ни на что оберегать природу, поскольку природа - это дом, в котором мы живем;многие силы природы находятся под контролем человека, и если они все еще наносят вред, то только по вине людей;"Герой романа И. С. Тургенева ""Отцы и дети"" Евгений Базаров отрицает силу природы, он считает, что ""природа - не храм, а мастерская, и человек в ней работник"". Тургеневский нигилист забывает, что природа - его единственный дом, который требует бережного отношения к себе.";А вот герои эссе А. И. Приставкина о строителях котлована бережно относятся к матушке-природе. Несмотря на то, что на дне будущего водоема не должно было остаться ни одного дерева, ни лесорубы, ни трактористы, ни девушки, жгущие костры, не подняли руку на красивую березу.;человек - не царь природы, он ее часть, потому безразличие к ней недопустимо. Мы обязаны всеми силами стараться защищать и беречь ее;;['вода', 'лес', 'русский', 'земля', 'река', 'место', 'дом', 'природа', 'животное', 'озеро', 'дерево', 'деревня', 'собака'];['природа', 'сохранение', 'бережный', 'беречь', 'человек', 'среда', 'окружающий', 'флора', 'чистый', 'земля']
Родина;Родины;проблема истинной любви к Родине;Автор призывает нас задуматься над ролью патриотизма в жизни общества и над тем, как это чувство воспитать.;именно любовь к Родине позволяет народу сплотиться в трудные для страны минуты. Им есть, что защищать - место, где дорого все;Родина как мать, одна и на всю жизнь;любовь к Родине не навязывается кем-то и ее нельзя привить;патриотизм - это светлое чувство;любить Родину - значит жить и гордиться ею;"Вспомним героя повести Ю. Г. Оксмана ""Поимка поручика Сухинова"", декабриста, который после разгрома восстания сумел уйти от преследования полиции, долго скитался и, наконец, добрался до границы. Совсем чуть-чуть... И вот она - свобода! Но мечтал ли герой о такой свободе? Глядя на поля, леса, небо, Сухинов понимал, что не может жить вдали от родины, не чувствуя России. И именно поэтому он сам сдается полиции, обрекая себя на каторгу.";"Еще одним примером может стать выдающийся русский хоккеист В. Третьяк. Знаменитому спортсмену предложили переехать в Канаду, предложив ""золотые горы"". Не долго думая, хоккеист стал показывать руками на небо, землю и спросил: ""А это вы мне тоже сможете купить?"" И никто больше к этому предложению не возвращался.";Родина - это не просто слово, а часть нашей души. Любовь к Родине - это не просто чувство, а целая жизненная позиция.;;['родной', 'земля', 'отечественный', 'река', 'русский', 'любовь', 'родина', 'великий', 'сердце', 'чувство', 'берег', 'семья', 'страна'];['а']
Семья;семьи;проблема взаимоотношений между поколениями;Автор заставляет нас задуматься о связи родителей и их детей;отношения разных поколений должны строиться на любви, уважении и взаимопонимании. Это то, что позволяет младшим учиться на опыте старших.;разные взгляды на жизнь и на мир в целом не являются препятствием для людей любящих друг друга;родители и дети попросту не могут понять друг друга из-за большой разницы в возрасте;отцы и дети – самые близкие люди, родные по крови. Они обязаны находить общий язык в любой ситуации, взаимно искать пути примирения. А главное, они должны научиться прощать друг друга;людям из разных поколений часто сложно найти общий язык;"Не случайно великий французский писатель Г. Мопассан писал: ""Неблагодарный сын хуже чужого: это преступник, так как сын не имеет права быть равнодушным к матери”.";В рассказе современной писательницы Ирины Курамшиной «Сыновний долг» есть яркий пример того, как мать не понимает сына, а тот - ее. Но это не означает, что они не заботятся о близких. Нет! Случайно узнав о страшной болезни матери, Ден сразу принимает решение: отдать матери свою почку ради ее спасения, несмотря на все прошлые разногласия.;проблема во взглядах между людьми разных поколений разрушительно действует на отношения в семье. Тем не менее близкие люди должны уметь находить общий язык.;;['детство', 'мать', 'ребёнок', 'взрослый', 'дом', 'детский', 'отец', 'мама', 'сын', 'мир', 'дочь', 'взаимоотношения', 'родители'];['взаимоотношения', 'поколения', 'связь', 'опыт', 'отец']
Война;войны;проблема осуждения войны как противного человеческому разуму события;Этот морально-этический вопрос относится к категории вечных. Сколько существует человечество, столько оно и осуждает войны. Но, к сожалению, на нашей планете не перестают греметь выстрелы, рваться бомбы, гибнуть люди. Поэтому эта проблема остается злободневной;война приносит людям только страдания;война – самое чудовищное, что может произойти на земле. На ней люди уничтожают все, что видят, не щадя друг друга;война ужасна. Она уродует жизни множества людей, заставляя ощущать этот мир совершенно иным;ужасы войны не могут быть забыты или искажены, память о них и их осуждение должны идти сквозь века;негативное отношение людей к разрушительной силе войны не должно ослабевать с годами;У Леонида Андреева есть удивительная история о судьбе участника Первой мировой войны, потерявшего ноги на поле боя. Он, слушая речи своего младшего брата, обсуждающего войну, просто молчит. Бывший воин не хочет ничего вспоминать. Он счастлив, что может принять горячую ванну, выпить ароматный чай и просто посидеть за письменным столом, перебирая книги. Его молчание – истинное осуждение войны;Вспомним героя рассказа Исаака Бабеля Прищепу. Война опалила его сердце, ожесточила, подсказала изощренные способы мести соотечественникам, с которыми он сводил счеты за погибших родителей. Прищепа убивал не парней, готовых дать ему отпор, а стариков и старух, бросал в курятники святые иконы, осквернял колодцы... Аморальное поведение опаленного войной человека – отрицание войны.;осуждение ужасов войны шло с самого начала существования человечества, однако, войны продолжаются и по сей день. Такими способами, как война и убийство, невозможно добиться счастья и процветания всего мира.;;['война', 'военный', 'сила', 'великий', 'немец', 'русский', 'отечественный', 'свет', 'фронт', 'бой', 'сердце', 'боец', 'дом'];['д', 'е']
Наука, образование;науки;проблема недооцененных трудов ученых;Почему некоторые изобретения остаются без должного внимания в свое время? Именно над этим вопросом заставляет нас задуматься автор.;изобретения не всегда принимаются современниками;результаты успешной работы поднимают человека в его глазах, вдохновляют его;часто люди не ценят и даже не замечают великие открытия совершенные их современниками;заслуженное признание труда ученого может прийти к нему спустя годы;общественное признание трудов ученого укрепляет его веру в то, что он делает, и свои силы;Можно вспомнить Чарльза Дарвина, английского натуралиста и путешественника, который одним из первых понял и наглядно продемонстрировал, что все виды живых организмов эволюционируют во времени, начиная от общих предков. Хотя существование эволюции было признано большинством учёных ещё при жизни Дарвина, его теория естественного отбора, объясняющая явление эволюции, получила признание только в 30-х годах XX-го столетия.;Даниил Гранин в документальной книге «Зубр» рассказывает о великом ученом, талантливом человеке с уникальной судьбой. Автор знал лично своего героя, много общался с ним. Речь в произведении идет о советском генетике Николае Владимировиче Тимофееве-Ресовском. Будучи учеником выдающегося зоолога и биолога Николая Кольцова, он оставил не только яркий след в науке, но и особое нравственное свечение, исходившее от его личности. Увы, открытия ученого не были признаны на его Родине - в Советском Союзе, и только в Германии его труды оценили по достоинству.;порой труд даже выдающегося исследователя не всегда признается современниками, и только спустя годы, а иногда и века человечество может по достоинству оценить результаты работы;;['школа', 'учитель', 'класс', 'урок', 'слово', 'русский', 'книга', 'ребёнок', 'школьный', 'звонок', 'наука', 'ученый', 'исследование', 'открытие', 'исследователь'];['ученый', 'исследование', 'открытие', 'лаборатория', 'наука', 'исследователь', 'недооценивать', 'теория', 'смерть', 'признание']
Наука, образование;науки;проблема счастья ученого;Автор размышляет над тем, что человек, совершающий открытия, счастлив уже потому, что узнает нечто новое о мире.;учёный — это человек, которому человечество, общество доверяет задачу узнавать новое об окружающем мире;раскрывать неизвестное, создавать полезное — вот отрада научных достижений;радость открытия испытывает каждый ученый. И при этом не важно, сколько человек разделит с ним это чувство: весь мир или только несколько коллег, которые также являются специалистами в этой области;стремление узнавать новое делает ученого счастливым;каждому из нас знакома радость познания, конечно, не научного, а личного. Узнал что-то новое и очень интересное, пусть даже хорошо знакомое другим, сделал открытие для себя;Вспомним Марию Склодовскую-Кюри. Выдающийся ученый, знаменитая женщина-физик, дважды лауреат Нобелевской премии, всю жизнь посвятила науке. Из воспоминаний ее дочери нам известно, что ни отсутствие средств, ни тяжелые условия работы не могли омрачить супругам Кюри радость открытий. Об этом Мария Кюри писала в автобиографии, где выразила свою радость по поводу того, что открытие радия стало благодеянием для человечества.;Ректор МГУ. В. А. Садовничий в одном из своих обращений к студентам сказал, что наука - это и увлекательный процесс познания мира и радость открытий. Кому как не ученому с мировым именем знать об этом.;результаты успешных научных трудов поднимают человека в собственных глазах, вдохновляют его. Именно это один из основных источников мотивации для любого исследователя;;['школа', 'учитель', 'класс', 'урок', 'слово', 'русский', 'книга', 'ребёнок', 'школьный', 'звонок', 'наука', 'ученый', 'исследование', 'открытие', 'исследователь'];['ученый', 'исследование', 'открытие', 'лаборатория', 'наука', 'исследователь', 'радость', 'счастье', 'испытыватьнесчастье', 'признание', 'счастлив']
