theme;theme_to_insert_vinitelniy;problem_formulation;problem_explanation;author_position;argument_paragraph1;argument_paragraph2;theme_keywords;problem_keywords
Родина;родины;проблема истинной любви к родине;Автор пытается донести до читателя, что любовь к Родине не навязывается кем-то и ее нельзя привить;любить Родину - значит, чувствовать ее, ощущать, как самого себя;"Вспомним героя рассказа Ю. Г. Оксмана ""Поимка поручика Сухинова"", декабриста, который после разгрома восстания смог скрыться от полицейских преследований, долго скитался и, наконец, выбрался к границе. Совсем чуть-чуть... И вот она – свобода! Но о такой ли свободе мечтал герой? Посмотрев на поля, леса, небо, Сухинов понял, что не сможет жить вдали от Родины, не ощущая России. И именно поэтому он сам сдается полиции, обрекая себя на каторгу";"Еще одним примером может стать выдающийся русский хоккеист В. Третьяк. Знаменитому спортсмену предложили переехать в Канаду, пообещав ему ""золотые горы"". Не размышляя долго, хоккеист стал показывать руками на небо, землю и спросил: ""А это вы мне тоже сможете купить?"" Ответ В. Третьяка, конечно, привел всех в замешательство, после чего никто к этому предложению не возвращался";['родной', 'земля', 'отечественный', 'река', 'русский', 'любовь', 'родина', 'великий', 'сердце', 'чувство', 'берег', 'семья', 'страна'];['ы']
Семья;семьи;проблема взаимоотношений между поколениями;Автор делает вывод, что связь родителей и их детей разрушается на почве разницы во взглядах на мир, юношеского максимализма детей и старческого нетерпения отцов;отцы и дети – близкие люди, родные по крови. И они обязаны находить в любой ситуации общий язык, взаимно искать пути примирения. А главное, они должны научиться прощать друг друга;Не случайно великий французский писатель Г. Мопассан писал: «Неблагодарный сын хуже чужого: это преступник, так как сын не имеет права быть равнодушным к матери»;В рассказе современной писательницы Ирины Курамшиной «Сыновний долг» нахожу яркий пример того, как мать не понимает сына, а тот - ее. Но это, как и в примере взаимоотношений героя и его отца, не означает, что они не любят друг друга, не заботятся о близких. Нет! Не разговаривая с матерью, дерзко отвечая ей, Ден, случайно узнав о ее страшной болезни, сразу принимает решение: отдать матери ради ее спасения почку. Ведь они родные люди! Им нечего делить;['детство', 'мать', 'ребёнок', 'взрослый', 'дом', 'детский', 'отец', 'мама', 'сын', 'мир', 'дочь', 'взаимоотношения'];['и']
Война;войны;проблема осуждения войны как противного человеческому разуму события;Этот морально-этический вопрос относится к категории вечных. Сколько существует человечество, столько оно и осуждает войны. Но, к сожалению, на нашей планете не перестают греметь выстрелы, рваться бомбы, гибнуть люди. Поэтому эта проблема остается злободневной;война - это ужасно, она изуродовала жизнь множества людей, которые теперь ощушают этот мир совершенно иным;У Леонида Андреева есть потрясающий рассказ о судьбе участника Первой Мировой войны, потерявшего на поле сражения ноги. Он, слушая речи младшего брата, рассуждающего о войне, просто молчит. Бывший воин не хочет ничего вспоминать. Он счастлив тем, что может принять горячую ванну, выпить душистого чаю и просто посидеть за письменным столом, перебирая книги. Его молчание и есть истинное осуждение войны;Вспомним героя рассказа Исаака Бабеля Прищепу. Война опалила его сердце, ожесточила, подсказала изощренные способы мести землякам, с которыми он сводил счеты за погибших родителей. Прищепа убивал не молодых парней, готовых дать ему отпор, а стариков и старух, бросал в курятники святые иконы, осквернял колодцы, подвешивая над колодцами подколотых собак... Безнравственное поведение опаленного войной человека – отрицание войны;['война', 'военный', 'сила', 'великий', 'немец', 'русский', 'отечественный', 'свет', 'фронт', 'бой', 'сердце', 'боец', 'дом'];['й']
Природа и животные;природы и животного мира;проблема бережного отношения человека к природе;Автор призывает нас задуматься над своей беспечностью и не продолжать издеваться над окружающим нас миром;человек должен бережно относиться к окружающей среде и контролировать все свои изобретения;"Герой романа И.С. Тургенева ""Отцы и дети"" Евгений Базаров отрицает красоту и могущество природы, он считает, что ""природа не храм, а мастерская, и человек в ней работник"". Тургеневский нигилист забывает о том, что природа - его родной и единственный дом, требующий бережного отношения к себе";"А вот герои эссе А.И. Приставкина о строителях котлована бережно относятся к матушке- природе. Несмотря на то что на дне будущего водохранилища не должно остаться деревьев, ни у кого: ни у лесорубов, ни у трактористов-бородачей, ни девчонок, жгущих костры, - не поднялась рука на березку-красавицу.""Лишь посмотрели"", полюбовались ею люди и развели костры подальше";['вода', 'лес', 'русский', 'земля', 'река', 'место', 'дом', 'природа', 'животное', 'озеро', 'дерево', 'деревня', 'собака'];['природа', 'сохранение', 'бережный', 'беречь', 'человек', 'среда', 'окружающий', 'флора', 'чистый', 'земля']
Культура, искусство;культуры и искусства;проблема влияния искусства на человека;Автор говорит нам о том, что искусство всегда было лучшим учебником, который способен повлиять на наши взгляды на жизнь в нужную сторону;искусство может не только изменить мнение о жизни, но и расширить взгляды, сформировать мировоззрение;"Прекрасный пример влияния книги на человеческое мировоззрение приводит А. Грин в рассказе ""Зеленая лампа"", где повествуется об удивительной судьбе бродяги Ива, ставшего, знаменитым врачом и обеспеченным человеком. И все это благодаря книгам, которые Ив читал, читал и читал";Сделать вывод мне помогают слова узбекского писателя А.Навои: «Книга – учитель без платы и благодарности. Каждый миг дарит она тебе откровения мудрости». Искандер размышляет о влиянии книги на человеческое мировоззрение;['книга', 'русский', 'великий', 'слово', 'новый', 'душа', 'сила', 'духовный', 'литература', 'живой', 'искусство', 'художественныый', 'картина', 'культура'];['искусство', 'культура', 'влияние', 'человек', 'взгляд', 'мнение']
Любовь, дружба, счастье;любви, дружбы и счастья;проблема потребности человека в настоящей любви и истинной дружбе;Автор утверждает, что каждому человеку в его жизни просто необходимы любовь и дружба;в вопросах любви и дружбы нужно всегда идти до конца;Так, главная героиня романа М. А. Булгакова «Мастер и Маргарита» потеряла самое дорогое – свою любовь, своего Мастера, но не замкнулась в своём несчастье. Она видит горе другого человека и активно сочувствует ему. И вот «подобное притягивается подобным»: Маргарита за свою любовь, верность, милосердие вознаграждена. Ей вернули возлюбленного;Бабушка Люба, героиня рассказа Б. Екимова «Тары да бары», нуждалась в любви своих родных. Но мелкие ссоры и обиды разрушали добрые отношения в семье. Однако бабушка ни разу не упрекнула ни дочь, ни внучку в бессердечии, она терпеливо ждала их прозрения. Ее смирение и терпение заставили родных задуматься над тем, что происходит в их семье, понять, что необходимо, пока это возможно, дарить старой женщине своё тепло, любовь;['любовь', 'лицо', 'друг', 'душа', 'хороший', 'чувство', 'счастие', 'счастливый', 'сердце', 'русский', 'сила', 'женщина', 'дружба', 'ревность'];['любовь', 'дружба', 'счастье', 'возлюбленный', 'родной', 'тепло']
Наука, образование;науки и образования;проблема роли учителя в жизни человека;Учитель играет важнейшую роль в становлении личности;настоящий учитель, готовый помочь своим ученикам в беде, играет в жизни ребенка огромную роль;Вспоминаю рассказ В.Распутина «Уроки французского», главного героя которого, обычного сельского мальчика, нелегкая судьба и голод заставляет начать игру на деньги с местными мальчишками. И хотя его учительница Лидия Михайловна, с точки зрения администрации школы, выбирает не очень правильный способ помощи ученику, но она делает это, в трудной ситуации искренне желая помочь мальчику, нашедшему в учителе не только наставника, но и друга;А преподаватель кружка Владимир Лаврентьевич, герой рассказа Евгения Гришковца «Начальник», пользуется авторитетом среди своих учеников, потому что он, истинный учитель, воспитывает у ребят чувство прекрасного, способность проявлять индивидуальность, умение жить и работать в коллективе;['школа', 'учитель', 'класс', 'урок', 'слово', 'русский', 'книга', 'ребёнок', 'школьный', 'звонок', 'наука', 'ученый', 'исследование', 'открытие', 'исследователь'];['учитель', 'учебник', 'школа', 'ученик', 'школьный', 'парта', 'класс', 'урок', 'образование', 'ребенок', 'дети']
Русский язык;русского языка;проблема бережного отношения к русскому языку;"Несомненно, вечный вопрос, поднятый автором, имеет огромное социальное значение. ""Относитесь к родному языку бережно и любовно. Думайте о нем, изучайте его, любите его, и вам откроется мир безграничных радостей"", - писал Д. С. Лихачев. Как часто мы относимся к таким призывам со спокойным небрежением, не задумываясь о том, какой строгий и точный смысл они несут. А ведь именно с помощью родного языка мы познаем мир, приобщаемся к тому огромному опыту, который накопило человечество, познаем ту самобытность национального характера, ту душевную и духовную высоту, которую русский народ достиг только благодаря своему языку";в каждом слове русского языка, в его звучании, открытой простоте, скромности, целомудрии, гибкости и в то же время коварности, ритмичности скрыта великая власть, могущество, тайный смысл. В словах живет прошлое и настоящее народа, его традиционный и современный быт. Они отражают исторический этап развития искусства, словесности... Слова – это памятник культуры и памятник культуре. Поэтому для автора русский язык – дивный дар, который надо любить и беречь;"Книга К. Паустовского о писательском труде ""Золотая роза"" легко послужит доказательством необходимости бережного отношения к могучему русскому языку. Зарисовки ""Родник в мелколесье"", ""Язык и природа"" показывают, что по-настоящему волшебным представляется язык тому, кто хорошо знает свой народ, свою землю. Разительную силу приобретает слово, если писатель хорошо понимает, о чем пишет";"Отличное подтверждение первостепенной роли бережливости по отношению к родной речи - это ""Словарь пермских говоров"" под редакцией А. Н. Борисовой и К. Н. Прокошевой, вобравший в себя своеобразие и богатство лексики Верхнего и Среднего Прикамья. Словарь создавался на основе многолетней экспедиционной работы кафедры русского языка пермского педагогического университета, включает в себя описания лексики и фразеологии рассматриваемых мест и прямо указывает на необходимость сохранения языка в самом богатом виде";['язык', 'слово', 'русский', 'речь', 'литература', 'родной', 'языковой', 'общий', 'история', 'выражение', 'великий', 'литературный'];['й']
Наука, образование;науки и образования;проблема недооцененных научных исследований;Автор отмечает, что открытие ученого не всегда оценивают по достоинству;зачастую люди не замечают и не ценят великие открытия своих современников, признание приходит к ученым лишь спустя годы;Вспомним Чарльза Дарвина, английского натуралиста и путешественника, одним из первых осознавшего и наглядно продемонстрировавшего, что все виды живых организмов эволюционируют во времени от общих предков. Существование эволюции было признано большинством учёных ещё при жизни Дарвина, в то время как его теория естественного отбора как основное объяснение эволюции стала общепризнанной только в 30-х годах XX-го столетия;Ректор МГУ. В. А. Садовничий в одном из своих обращений к студентам сказал, что наука- это и увлекательный процесс познания мира и радость открытий. Кому как не ученому с мировым именем знать об этом;['школа', 'учитель', 'класс', 'урок', 'слово', 'русский', 'книга', 'ребёнок', 'школьный', 'звонок', 'наука', 'ученый', 'исследование', 'открытие', 'исследователь'];['ученый', 'исследование', 'открытие', 'лаборатория', 'наука', 'исследователь', 'недооценивать', 'теория', 'смерть', 'признание']
Наука, образование;науки и образования;проблема счастья ученого;Автор отмечает, человек, сделавший открытие, счастлив уже потому, что узнает что-то новое о мире;радость открытия испытывает каждый ученый. И при этом неважно, сколько человек разделит с ним эту радость: весь мир или только несколько коллег, которые являются специалистами в этой области;"Вспомним Марию Склодовскую-Кюри. Выдающийся ученый, единственная женщина-физик, дважды лауреат Нобелевской премии, всю жизнь посвятила науке. Из воспоминаний ее дочери нам известно, что ни отсутствие средств, ни тяжелые условия работы не могли омрачить супругам Кюри радость открытий. Об этом Мария Кюри писала в автобиографии, где выразила свою радость по поводу того, что открытие радия стало ""благодеянием для человечества""";Даниил Гранин в документальной книге «Зубр» рассказал нам о великом ученом, человеке огромного таланта и уникальной судьбы. Автор знал лично своего героя, общался с ним. Речь в произведении идет о советском генетике Николае Владимировиче Тимофееве-Ресовском, которого автор называет Зубром. Ученик выдающегося зоолога и биолога Николая Кольцова, Зубр оставил не только яркий след в науке, но и особое нравственное свечение, исходившее от его личности. Увы, открытия ученого не были признаны в Советском Союзе, и только в Германии его труды оценили по достоинству;['школа', 'учитель', 'класс', 'урок', 'слово', 'русский', 'книга', 'ребёнок', 'школьный', 'звонок', 'наука', 'ученый', 'исследование', 'открытие', 'исследователь'];['ученый', 'исследование', 'открытие', 'лаборатория', 'наука', 'исследователь', 'радость', 'счастье', 'испытыватьнесчастье', 'признание', 'счастлив']
